CUSTOMER_ID,ORDER_DT,CITY,STATE,ORDER_AMOUNT,ORDER_ID
,,Dallas,TX,,2004860729612798827
,,Houston,TX,,3421577291682474489
7UP6MS,12/1/2010,Dallas,TX,42.78,1878685737792973460
9SVNMF,12/19/2010,Dallas,TX,89.08,2208082681814434881
JD96M8,6/13/2011,Dallas,TX,94.81,5863032514623560934
WXBP2F,5/17/2011,Dallas,TX,74.02,3223230834119168321
UCVGQ9,3/14/2011,Houston,TX,112.59,657623989503410075
CZTUVU,11/7/2011,Dallas,TX,46.44,3950235578952548647
HGBG96,2/1/2010,Dallas,TX,96.25,7942111067114329512
W97W6Q,4/10/2010,Dallas,TX,44.93,2634764619324486134
3PST7V,2/10/2011,Dallas,TX,46.21,8199673731777256791
T6ZAER,10/22/2009,Dallas,TX,71.05,1444513481386604304
YRHUHV,10/4/2010,Dallas,TX,160.47,7999803257096537114
8SK2UB,2/7/2011,Dallas,TX,67.77,1556602776973974336
Z4YCW4,4/28/2011,Dallas,TX,36.31,3113233453267436604
64QBT7,3/28/2011,Dallas,TX,58.96,3319365494393637059
W3TM2U,11/3/2010,Houston,TX,143.38,5175594534414467581
CF5K35,2/3/2011,Dallas,TX,94.57,2509591151404062141
FM7VFL,10/16/2009,Dallas,TX,126.52,9168391802249034404
A3XBE,4/11/2011,Houston,TX,174.43,9118619690325736848
7PALQK,4/14/2011,Dallas,TX,64.02,2052989257337984727
TGYGPC,2/1/2011,Houston,TX,36.94,3392972605353324103
3VCXN,5/1/2011,Dallas,TX,151.17,8569997434280906595
U9ZQQP,6/12/2011,Waco,TX,38.93,3791119550318095402
QKYBFL,1/26/2011,Dallas,TX,27.62,5593010289869947220
ME8GM2,10/4/2011,Dallas,TX,66.42,6344837818191987131
ELJFL7,2/8/2011,Dallas,TX,81.86,2687416047781082401
37TL6Y,5/13/2011,Houston,TX,81.16,2703705220422280412
VSDFDY,10/29/2009,Dallas,TX,47.01,110379004009072751
EDHT4T,3/13/2011,Dallas,TX,95.93,9006981038172050000
E3JPX3,2/10/2011,Dallas,TX,129.34,6679449267871114235
SJKEYZ,2/10/2011,Houston,TX,64.38,6138352698554148466
PCM3GS,10/13/2010,Dallas,TX,105.57,2972974452775152302
ETU955,1/10/2014,Houston,TX,47.66,8684779174307215638
CXU7AW,3/8/2011,Houston,TX,180.9,5802262357463250403
6ZHF73,1/25/2011,Dallas,TX,77.15,8066951304343645532
UH5A8N,12/10/2009,Dallas,TX,31.18,8698086007075352184
HSZGYK,3/1/2010,Dallas,TX,22.93,6607543868531910409
2CQ42Z,6/17/2013,Dallas,TX,54.14,6112345287833086644
TNDHYE,4/5/2011,Waco,TX,65.73,7236905116090292123
FYKE6T,1/11/2011,Houston,TX,55.66,8574074070830705011
9HNPDF,11/17/2009,Dallas,TX,59,5464286787201012951
YACQB7,5/15/2011,Dallas,TX,96.21,342610795046958858
UA88SV,7/4/2011,Dallas,TX,64.91,1302015854946462601
BRZQNB,4/12/2011,Waco,TX,37.9,3808641825995320353
BTE8SJ,5/21/2012,Dallas,TX,61.83,3453080250142973319
MFGEYU,3/7/2011,Houston,TX,73.97,8797263020207187605
4P69JL,1/9/2011,Dallas,TX,80.03,4420054739477738855
SH97N,5/2/2011,Houston,TX,80.77,7981985486809398537
AZ48MV,4/7/2011,Dallas,TX,115.12,86928457889148592
9FT8PL,3/27/2011,Dallas,TX,160.83,8774821665857308405
2WCFBU,10/25/2011,Dallas,TX,81.98,2890701815895293848
X3299E,1/7/2011,Dallas,TX,141.63,6352278628661051754
BJAPV3,3/20/2011,Dallas,TX,63.05,5423003612833589733
VJYRQ8,1/21/2010,Dallas,TX,58.01,3875561473464478735
BSC6KU,5/16/2011,Dallas,TX,80.76,4560170875731599072
RH5VGB,3/25/2011,Houston,TX,50.17,6351325184268483773
TJJPG,5/4/2011,Dallas,TX,113.17,1683354954556157149
GCXDYV,3/29/2011,Houston,TX,45.02,9213858377272685128
CGUZKY,5/1/2011,Dallas,TX,237.44,7475056670071946864
646VZ8,4/24/2011,Dallas,TX,88.45,5971120154486582507
BCERB3,3/5/2010,Dallas,TX,59.69,4450515943328708287
3EEP8A,2/10/2011,Houston,TX,60.51,826718813468042257
ESAZ2K,4/29/2011,Houston,TX,68.9,7539535255156614442
4A6UZV,2/1/2011,Houston,TX,66.94,2377562904798182169
6ERUQ9,4/16/2009,Dallas,TX,49.86,4764748183212168198
QQNM35,12/21/2009,Dallas,TX,178.13,4546495463771092810
ZUN4CF,10/16/2010,Houston,TX,99.79,3267129394152582349
HA7L95,11/23/2010,Dallas,TX,72.73,8098364861055122764
2DHFAA,1/13/2011,Dallas,TX,158.53,8747013832885441177
FY7APA,4/14/2011,Houston,TX,276.8,3179202473726826454
D28LME,2/16/2011,Dallas,TX,65.54,2662074761432017527
PBK32R,5/6/2011,Houston,TX,86.21,262080855967638925
GKWDJY,2/8/2011,Dallas,TX,86.59,6401730963911132818
9P3HVN,4/30/2010,Dallas,TX,39.68,5809034747128289782
K5GVT2,3/31/2011,Dallas,TX,157.28,1693509490555271890
T2GYG8,7/31/2011,Houston,TX,106.7,2017429290137514066
6H6T6N,8/11/2013,Dallas,TX,5.32,1694059091180070044
APCENR,4/1/2011,Dallas,TX,74.49,8341340567399437924
7ZEW8G,3/28/2011,Houston,TX,45.76,5171021509502567379
8V726M,11/29/2010,Houston,TX,102.71,2335822929761829695
2B6B83,10/12/2010,Dallas,TX,165.9,5256652829839485609
99XGVM,5/16/2011,Houston,TX,107.35,2181652331859430315
U3MP5L,9/21/2011,Dallas,TX,58.9,7319897025469298409
ELKAGQ,11/9/2010,Dallas,TX,37.4,1974481747370186715
3SBQP2,2/20/2011,Dallas,TX,56.87,5562018397210872469
YMALVV,11/18/2010,Dallas,TX,79.84,3435070095973937097
GW8NT7,5/9/2011,Dallas,TX,79.1,3720870173369388675
TFKLD4,11/15/2010,Dallas,TX,117.61,6569958287443767980
RAQ92T,3/1/2011,Dallas,TX,107.57,6577327735921041588
DMJERJ,4/14/2011,Dallas,TX,50.05,7829097017696240612
FJKD8W,3/27/2011,Houston,TX,40.53,8420374865349852454
HEPCW7,1/25/2011,Dallas,TX,147.34,6312889514024558101
2JZAE3,3/12/2012,Dallas,TX,91.86,7955644745408673192
BYS2DU,4/10/2011,Houston,TX,4.82,7778226990185378497
F6MHUM,5/3/2011,Dallas,TX,70.19,1826675847808226785
LSL6QK,5/2/2011,Houston,TX,19.97,8582352619244595679
JPBBEP,8/22/2012,Dallas,TX,106.05,545338696372896251
3ML22U,4/24/2011,Dallas,TX,67.47,2991303406648218127
N297FU,12/20/2010,Dallas,TX,26.66,202788097491691034
PLM5WZ,11/24/2009,Dallas,TX,66.34,3923576977569763870
F3MF5Y,7/29/2010,Dallas,TX,50.47,1085454062473885263
2GHDRJ,5/23/2010,Houston,TX,49.91,6416267458468402708
KZHTJ7,2/28/2011,Houston,TX,24.67,4214914595284593109
RJYYJ9,8/19/2012,Houston,TX,51.74,8863986976922345771
MZ8L3N,3/20/2011,Houston,TX,85.08,2819397298389891468
4W84UJ,4/24/2009,Dallas,TX,6.44,4271622303603585301
LMVN3V,6/2/2010,Dallas,TX,108.77,6083118463821636774
3TJT3R,4/28/2011,Houston,TX,156.75,2148897148603739884
Q7RV8W,8/30/2010,Houston,TX,65.54,1492219101894562425
